cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
1638,ISSUE,0,3,LD,2,4,None,4,""
1839,COMPLETE,0,3,LD,2,-1,-1,0,""
1840,ISSUE,0,3,FFMA,0,1,2,4,""
1844,ISSUE,0,3,LD,1,3,None,4,""
1849,COMPLETE,0,3,ALU,0,-1,-1,0,""
2046,COMPLETE,0,3,LD,1,-1,-1,0,""
2047,ISSUE,0,3,LD,2,4,None,4,""
2248,COMPLETE,0,3,LD,2,-1,-1,0,""
2249,ISSUE,0,3,FFMA,0,1,2,4,""
2253,ISSUE,0,3,ST,5,0,None,4,""
2258,COMPLETE,0,3,ALU,0,-1,-1,0,""
2455,COMPLETE,0,3,ST,-1,-1,-1,0,""
