cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
288,ISSUE,0,2,LD,2,4,None,4,""
289,ISSUE,0,5,LD,2,4,None,4,""
290,ISSUE,0,6,LD,2,4,None,4,""
291,ISSUE,0,7,LD,2,4,None,4,""
292,ISSUE,0,0,FFMA,0,1,2,4,""
293,ISSUE,0,1,FFMA,0,1,2,4,""
294,ISSUE,0,2,FFMA,0,1,2,4,""
295,ISSUE,0,5,FFMA,0,1,2,4,""
296,ISSUE,0,6,FFMA,0,1,2,4,""
297,ISSUE,0,7,FFMA,0,1,2,4,""
297,COMPLETE,0,5,ALU,0,-1,-1,0,""
298,ISSUE,0,0,LD,1,3,None,4,""
298,COMPLETE,0,6,ALU,0,-1,-1,0,""
299,ISSUE,0,1,LD,1,3,None,4,""
299,COMPLETE,0,7,ALU,0,-1,-1,0,""
300,ISSUE,0,2,ST,5,0,None,4,""
301,ISSUE,0,5,ST,5,0,None,4,""
301,COMPLETE,0,0,ALU,0,-1,-1,0,""
302,ISSUE,0,6,ST,5,0,None,4,""
302,COMPLETE,0,1,ALU,0,-1,-1,0,""
303,ISSUE,0,7,ST,5,0,None,4,""
303,COMPLETE,0,2,ALU,0,-1,-1,0,""
304,ISSUE,0,0,LD,2,4,None,4,""
305,ISSUE,0,1,LD,2,4,None,4,""
308,ISSUE,0,0,FFMA,0,1,2,4,""
309,ISSUE,0,1,FFMA,0,1,2,4,""
311,COMPLETE,0,5,ALU,0,-1,-1,0,""
312,ISSUE,0,0,LD,1,3,None,4,""
312,COMPLETE,0,6,ALU,0,-1,-1,0,""
313,ISSUE,0,1,LD,1,3,None,4,""
313,COMPLETE,0,7,ALU,0,-1,-1,0,""
316,ISSUE,0,0,LD,2,4,None,4,""
317,ISSUE,0,1,LD,2,4,None,4,""
317,COMPLETE,0,0,ALU,0,-1,-1,0,""
318,COMPLETE,0,1,ALU,0,-1,-1,0,""
320,ISSUE,0,0,FFMA,0,1,2,4,""
